,Date,DateFloat,FutureValue
0,2019-03-13 14:16:54.738399,1.552486614738399e+18,82.7526217498401
1,2019-03-14 14:16:54.738399,1.552573014738399e+18,82.75360854465605
2,2019-03-15 14:16:54.738399,1.552659414738399e+18,82.75459533947199
3,2019-03-16 14:16:54.738399,1.552745814738399e+18,82.75558213428793
4,2019-03-17 14:16:54.738399,1.552832214738399e+18,82.75656892910388
5,2019-03-18 14:16:54.738399,1.552918614738399e+18,82.75755572391982
6,2019-03-19 14:16:54.738399,1.553005014738399e+18,82.75854251873577
7,2019-03-20 14:16:54.738399,1.553091414738399e+18,82.75952931355171
8,2019-03-21 14:16:54.738399,1.553177814738399e+18,82.76051610836765
9,2019-03-22 14:16:54.738399,1.553264214738399e+18,82.7615029031836
10,2019-03-23 14:16:54.738399,1.553350614738399e+18,82.76248969799954
11,2019-03-24 14:16:54.738399,1.553437014738399e+18,82.76347649281549
12,2019-03-25 14:16:54.738399,1.553523414738399e+18,82.76446328763143
13,2019-03-26 14:16:54.738399,1.553609814738399e+18,82.76545008244736
14,2019-03-27 14:16:54.738399,1.553696214738399e+18,82.76643687726332
15,2019-03-28 14:16:54.738399,1.553782614738399e+18,82.76742367207925
16,2019-03-29 14:16:54.738399,1.553869014738399e+18,82.76841046689519
17,2019-03-30 14:16:54.738399,1.553955414738399e+18,82.76939726171113
18,2019-03-31 14:16:54.738399,1.554041814738399e+18,82.77038405652708
19,2019-04-01 14:16:54.738399,1.554128214738399e+18,82.77137085134302
20,2019-04-02 14:16:54.738399,1.554214614738399e+18,82.77235764615897
21,2019-04-03 14:16:54.738399,1.554301014738399e+18,82.77334444097491
22,2019-04-04 14:16:54.738399,1.554387414738399e+18,82.77433123579085
23,2019-04-05 14:16:54.738399,1.554473814738399e+18,82.7753180306068
24,2019-04-06 14:16:54.738399,1.554560214738399e+18,82.77630482542274
25,2019-04-07 14:16:54.738399,1.554646614738399e+18,82.77729162023869
26,2019-04-08 14:16:54.738399,1.554733014738399e+18,82.77827841505463
27,2019-04-09 14:16:54.738399,1.554819414738399e+18,82.77926520987057
28,2019-04-10 14:16:54.738399,1.554905814738399e+18,82.7802520046865
29,2019-04-11 14:16:54.738399,1.554992214738399e+18,82.78123879950246
30,2019-04-12 14:16:54.738399,1.555078614738399e+18,82.78222559431839
31,2019-04-13 14:16:54.738399,1.555165014738399e+18,82.78321238913433
32,2019-04-14 14:16:54.738399,1.555251414738399e+18,82.78419918395028
33,2019-04-15 14:16:54.738399,1.555337814738399e+18,82.78518597876622
34,2019-04-16 14:16:54.738399,1.555424214738399e+18,82.78617277358217
35,2019-04-17 14:16:54.738399,1.555510614738399e+18,82.78715956839811
36,2019-04-18 14:16:54.738399,1.555597014738399e+18,82.78814636321405
37,2019-04-19 14:16:54.738399,1.555683414738399e+18,82.78913315803
38,2019-04-20 14:16:54.738399,1.555769814738399e+18,82.79011995284594
39,2019-04-21 14:16:54.738399,1.555856214738399e+18,82.79110674766189
40,2019-04-22 14:16:54.738399,1.555942614738399e+18,82.79209354247783
41,2019-04-23 14:16:54.738399,1.556029014738399e+18,82.79308033729377
42,2019-04-24 14:16:54.738399,1.556115414738399e+18,82.79406713210972
43,2019-04-25 14:16:54.738399,1.556201814738399e+18,82.79505392692565
44,2019-04-26 14:16:54.738399,1.556288214738399e+18,82.7960407217416
45,2019-04-27 14:16:54.738399,1.556374614738399e+18,82.79702751655753
46,2019-04-28 14:16:54.738399,1.556461014738399e+18,82.79801431137348
47,2019-04-29 14:16:54.738399,1.556547414738399e+18,82.79900110618942
48,2019-04-30 14:16:54.738399,1.556633814738399e+18,82.79998790100537
49,2019-05-01 14:16:54.738399,1.556720214738399e+18,82.80097469582131
50,2019-05-02 14:16:54.738399,1.556806614738399e+18,82.80196149063725
51,2019-05-03 14:16:54.738399,1.556893014738399e+18,82.8029482854532
52,2019-05-04 14:16:54.738399,1.556979414738399e+18,82.80393508026914
53,2019-05-05 14:16:54.738399,1.557065814738399e+18,82.80492187508509
54,2019-05-06 14:16:54.738399,1.557152214738399e+18,82.80590866990103
55,2019-05-07 14:16:54.738399,1.557238614738399e+18,82.80689546471697
