,Date,DateFloat,FutureValue
0,2019-03-13 14:16:54.487865,1.552486614487865e+18,86.1930196339921
1,2019-03-14 14:16:54.487865,1.552573014487865e+18,86.19454679456987
2,2019-03-15 14:16:54.487865,1.552659414487865e+18,86.19607395514767
3,2019-03-16 14:16:54.487865,1.552745814487865e+18,86.19760111572545
4,2019-03-17 14:16:54.487865,1.552832214487865e+18,86.19912827630324
5,2019-03-18 14:16:54.487865,1.552918614487865e+18,86.20065543688102
6,2019-03-19 14:16:54.487865,1.553005014487865e+18,86.20218259745882
7,2019-03-20 14:16:54.487865,1.553091414487865e+18,86.2037097580366
8,2019-03-21 14:16:54.487865,1.553177814487865e+18,86.20523691861439
9,2019-03-22 14:16:54.487865,1.553264214487865e+18,86.20676407919217
10,2019-03-23 14:16:54.487865,1.553350614487865e+18,86.20829123976995
11,2019-03-24 14:16:54.487865,1.553437014487865e+18,86.20981840034774
12,2019-03-25 14:16:54.487865,1.553523414487865e+18,86.21134556092554
13,2019-03-26 14:16:54.487865,1.553609814487865e+18,86.21287272150332
14,2019-03-27 14:16:54.487865,1.553696214487865e+18,86.2143998820811
15,2019-03-28 14:16:54.487865,1.553782614487865e+18,86.21592704265889
16,2019-03-29 14:16:54.487865,1.553869014487865e+18,86.21745420323667
17,2019-03-30 14:16:54.487865,1.553955414487865e+18,86.21898136381446
18,2019-03-31 14:16:54.487865,1.554041814487865e+18,86.22050852439224
19,2019-04-01 14:16:54.487865,1.554128214487865e+18,86.22203568497002
20,2019-04-02 14:16:54.487865,1.554214614487865e+18,86.22356284554782
21,2019-04-03 14:16:54.487865,1.554301014487865e+18,86.22509000612561
22,2019-04-04 14:16:54.487865,1.554387414487865e+18,86.22661716670339
23,2019-04-05 14:16:54.487865,1.554473814487865e+18,86.22814432728117
24,2019-04-06 14:16:54.487865,1.554560214487865e+18,86.22967148785897
25,2019-04-07 14:16:54.487865,1.554646614487865e+18,86.23119864843675
26,2019-04-08 14:16:54.487865,1.554733014487865e+18,86.23272580901454
27,2019-04-09 14:16:54.487865,1.554819414487865e+18,86.23425296959232
28,2019-04-10 14:16:54.487865,1.554905814487865e+18,86.2357801301701
29,2019-04-11 14:16:54.487865,1.554992214487865e+18,86.23730729074789
30,2019-04-12 14:16:54.487865,1.555078614487865e+18,86.23883445132569
31,2019-04-13 14:16:54.487865,1.555165014487865e+18,86.24036161190347
32,2019-04-14 14:16:54.487865,1.555251414487865e+18,86.24188877248125
33,2019-04-15 14:16:54.487865,1.555337814487865e+18,86.24341593305904
34,2019-04-16 14:16:54.487865,1.555424214487865e+18,86.24494309363682
35,2019-04-17 14:16:54.487865,1.555510614487865e+18,86.24647025421461
36,2019-04-18 14:16:54.487865,1.555597014487865e+18,86.2479974147924
37,2019-04-19 14:16:54.487865,1.555683414487865e+18,86.24952457537019
38,2019-04-20 14:16:54.487865,1.555769814487865e+18,86.25105173594797
39,2019-04-21 14:16:54.487865,1.555856214487865e+18,86.25257889652576
40,2019-04-22 14:16:54.487865,1.555942614487865e+18,86.25410605710354
41,2019-04-23 14:16:54.487865,1.556029014487865e+18,86.25563321768132
42,2019-04-24 14:16:54.487865,1.556115414487865e+18,86.25716037825912
43,2019-04-25 14:16:54.487865,1.556201814487865e+18,86.25868753883691
44,2019-04-26 14:16:54.487865,1.556288214487865e+18,86.26021469941469
45,2019-04-27 14:16:54.487865,1.556374614487865e+18,86.26174185999247
46,2019-04-28 14:16:54.487865,1.556461014487865e+18,86.26326902057026
47,2019-04-29 14:16:54.487865,1.556547414487865e+18,86.26479618114804
48,2019-04-30 14:16:54.487865,1.556633814487865e+18,86.26632334172584
49,2019-05-01 14:16:54.487865,1.556720214487865e+18,86.26785050230362
50,2019-05-02 14:16:54.487865,1.556806614487865e+18,86.2693776628814
51,2019-05-03 14:16:54.487865,1.556893014487865e+18,86.27090482345919
52,2019-05-04 14:16:54.487865,1.556979414487865e+18,86.27243198403698
53,2019-05-05 14:16:54.487865,1.557065814487865e+18,86.27395914461476
54,2019-05-06 14:16:54.487865,1.557152214487865e+18,86.27548630519254
55,2019-05-07 14:16:54.487865,1.557238614487865e+18,86.27701346577034
