,created_date,tweets,sentiment
66,2019-05-06,2019 Kentucky Derby : One History Books $ CHDN,Neutral
67,2019-05-06,Parsons IPO : Need Know $ PSN,Neutral
68,2019-05-06,'Game Thrones ' Viewers Spot Starbucks Cup Winterfell $ SBUX $,Negative
69,2019-05-06,Barron 's : Investing Coming Wave Millennial Spending $ HD $ NKE,Neutral
70,2019-05-06,Report : China Wants Piece CBD Market,Positive
71,2019-05-06,Wall Street Weighs Tesla 's Capital Raise $ TSLA,Neutral
72,2019-05-06,"RT @ JavierHasse : Two years ago , wrote @ Benzinga # Cannabis : * Public Marijuana Companies Using Stock Make Acquisitions : D…",Neutral
73,2019-05-06,Tim Cook Warren Buffett : ' n't Think 's Better Teacher ' $ AAPL $ BRK.A,Positive
74,2019-05-06,UBS Says Alphabet 'Well-Positioned ' Local Ads $ GOOG $ GOOGL,Neutral
75,2019-05-06,"Pacer Expands Cash Cows , Trendpilot ETF Lineups $ BIL $ PTIN $ COWZ",Neutral
76,2019-05-06,WSJ : Boeing Failed Disclose Known Safety Alert Problem $ BA,Negative
77,2019-05-06,Small-Cap Biotech Esperion Surges FDA Acceptance Cholesterol Drug Applications $ ESPR,Neutral
78,2019-05-06,Lyft Options Trader Makes Bullish Bet Ahead Earnings $ LYFT,Neutral
79,2019-05-06,RT @ Spus : missed today @ Benzinga # PreMarket Prep Show # BFTD still tact (,Neutral
80,2019-05-06,Milestone Pharma IPO : Need Know $ MIST,Neutral
81,2019-05-06,Earnings Update -,Neutral
82,2019-05-06,Fire Stoked US-China Trade War : Experts Reacting,Neutral
83,2019-05-06,# OTD Market History : English Channel Tunnel Connects France England,Neutral
84,2019-05-06,Sell May ? Data Says Fast $ SPX $ SPY,Positive
85,2019-05-06,Pre-Market Activity : Need Know -,Neutral
86,2019-05-06,Marvell Buys Aquantia $ 450M Deal $ AQ $ MRVL,Neutral
87,2019-05-06,26 Stocks Moving Monday 's Pre-Market Session $ ESPR $ SBGI $ SAEX $ AXSM $ ZYNE $ BHC $ CYTK $ PHUN $ BZUN $ SY $ SCPL,Neutral
88,2019-05-06,RT @ JasonShubnell : most-read story last week : Need Know Beyond Meat IPO $ BYND @ eabalboa :,Neutral
89,2019-05-06,"Bulls & amp ; Bears Week : Apple , Disney , GE , Sprint $ AAPL $ CTSH $ DIS $ GE $ $ ZNGA $ $ GOOGL",Neutral
90,2019-05-06,Under Armour Analysts React Fifth Beat-And-Raise Quarter ; Footwear Growth Finally Bright Spot $ UAA,Positive
91,2019-05-06,Barron 's : Investing Coming Wave Millennial Spending $ HD $ NKE,Neutral
92,2019-05-06,IPO Outlook Week : Uber ( 11 Others ) $ UBER $ APLT $ AXLA $ CRTX $ PSN $ MIST $ HHR $ MEC $ NXTC $ SPFI $ PSTL $ SONM,Neutral
93,2019-05-06,Edison Research Sees $ 140B Potential Cannabis $ GWPH,Neutral
94,2019-05-05,"Week Ahead Biotech : Conferences , Clinical Trial Readouts , Earnings IPOs $ IBB $ XBI",Neutral
95,2019-05-05,"Barron 's Picks Pans : Burlington Stores , Nike , Occidental Petroleum , Uber $ BURL $ HD $ NKE $ OXY $ UBER",Neutral
96,2019-05-05,Analysts Overwhelmingly Bullish Outdoor Brand Yeti ; Company Eyes International Growth $ YETI,Positive
